,P_DAS28,LM_DAS28,P_VAS,LM_VAS,P_TJC,LM_TJC,P_SJC,LM_SJC,P_CRP,LM_CRP
IQGAP1,0.478987081,-0.028892765,0.167151171,-0.003011765,0.586231118,-0.003983267,0.972697475,-0.000399662,0.352487172,-0.00218314
CFH,0.655776481,-0.018175652,0.829778607,0.000468763,0.256205132,-0.008294226,0.26531175,-0.01298249,0.353989285,0.002173907
F13A1,0.287778512,0.04729632,0.362107508,0.002142757,0.122984068,0.012412954,0.777464965,0.003432392,0.354380894,0.002275425
VKORC1,0.241656939,-0.077099427,0.542702407,-0.002229788,0.838715461,-0.002229624,0.629151492,-0.011480122,0.357280076,-0.004323051
CALR,0.902264104,-0.005031707,0.335969404,-0.002107421,0.165116602,0.010184793,0.467023116,-0.008523481,0.35802704,-0.002166579
ILK,0.808152186,-0.016150853,0.055965887,-0.006865212,0.748019246,0.004115403,0.919810348,0.002150174,0.35818037,0.003373848
BHMT,0.066922604,-0.074546467,0.365685374,-0.001971223,0.4291308,-0.005778034,0.048283539,-0.022974281,0.358736534,-0.002152402
BZW1,0.901434098,0.011664414,0.456457759,0.003452062,0.499571488,0.01154158,0.872036584,-0.005700686,0.362735132,-0.004185377
IGHM,0.455252086,0.028610057,0.543112811,0.001246007,0.042610576,0.013895182,0.025956524,-0.024334149,0.362923266,-0.002005686
HSP90AA1,0.896355939,-0.005339479,0.86078384,-0.000384146,0.904890219,0.000879369,0.297909102,0.012191106,0.363011981,-0.002143618
XRCC6,0.875701796,-0.008187421,0.982258192,-6.90E-05,0.64820422,-0.004481585,0.351645519,0.014861989,0.363136129,-0.002635585
ARHGDIB,0.455050703,0.033326628,0.86818304,-0.000389593,0.144635218,0.011662906,0.060704788,0.023122039,0.36435838,-0.002262961
FLNA,0.887887468,-0.005768346,0.839667842,0.000442622,0.566860433,0.004200159,0.471535235,0.008423342,0.365354778,-0.002130249
PEPD,0.017839628,-0.102568812,0.025664748,-0.005272442,0.131500732,-0.011737951,0.089166791,-0.022007105,0.365687879,-0.002199657
PPIB,0.705725106,0.015452236,0.48686773,0.001521011,0.597346781,0.003874997,0.806799688,-0.002862616,0.365765842,-0.002128866
SERPINF1,0.418034153,-0.032770495,0.038264628,-0.004472371,0.579181052,-0.004024309,0.649334091,-0.005264195,0.365863798,0.002105413
SLC4A1,0.489098001,-0.031817646,0.380915394,-0.002211372,0.866734105,0.001357463,0.244036999,-0.014127377,0.366310199,-0.002673137
UQCR10,0.010441255,-0.124824381,0.017735851,-0.006108296,0.109398844,-0.014446715,0.179368561,-0.020104932,0.370568135,-0.002481825
ATP1A1,0.19122781,-0.053464249,0.106640912,-0.003527053,0.718180601,-0.002649551,0.183854331,-0.015549241,0.373565379,-0.002095924
HPD,0.932339735,0.003637807,0.788248984,-0.000610583,0.386126401,0.006712803,0.831217829,-0.00261837,0.375847452,-0.002330275
RPL9,0.979608286,-0.001503728,0.725944103,0.001082534,0.594829772,0.005597803,0.991670812,0.000178058,0.375895562,-0.003455156
CS,0.797948336,-0.014766638,0.469077446,0.002169854,0.840468716,-0.002067806,0.976511008,-0.000510582,0.376898205,-0.002807586
IGKV2D.28,0.844002892,0.016757968,0.623517197,0.002102338,0.711384982,0.005773026,0.521654456,-0.020048985,0.378676986,0.003417041
RPL27,0.736257726,0.015056672,0.912488993,0.0002685,0.429929448,0.006268694,0.836025457,0.002674875,0.378912814,-0.002247962
KRT18,0.219680942,0.051974378,0.422948315,0.001843883,0.475337672,0.005359239,0.449700589,0.008940866,0.379181599,0.002103024
SERPINH1,0.583425895,-0.02308962,0.023959592,-0.005154381,0.909310962,-0.000872119,0.33812251,0.011311213,0.379525068,0.002116345
ALAD,0.951678046,-0.002880871,0.686347151,-0.001053725,0.189501124,0.010852158,0.881789962,0.001931648,0.380587128,-0.002652893
TUBA4A,0.567364276,-0.023868578,0.97638301,-6.57E-05,0.72479119,-0.002625977,0.727662423,-0.004331716,0.383098306,-0.002059051
SFPQ,0.283194335,-0.04889841,0.812287745,-0.000573882,0.575634057,-0.0045553,0.052854718,-0.024269806,0.384265662,-0.002542929
GLUD1,0.740683198,-0.013621703,0.094252916,0.003686924,0.786931398,-0.001999773,0.126310811,-0.01794391,0.385088453,-0.00210475
IGKV2.24,0.940479879,0.003447896,0.660276181,-0.001076289,0.727735013,0.002804081,0.63716585,-0.006273777,0.385651944,-0.002239067
GLOD4,0.719306543,-0.01544898,0.826326306,-0.000501684,0.57205479,-0.004352996,0.579524633,0.006701024,0.386076269,0.002146539
PFN1,0.895275173,0.006604085,0.948873542,-0.000177448,0.778437638,-0.002411568,0.99307078,-0.000128339,0.386135209,0.002339275
CAP1,0.59500645,-0.021730359,0.394356809,-0.001861103,0.772229449,-0.002121641,0.787702665,-0.003149046,0.38667299,-0.002035697
FH,0.826562187,-0.008944062,0.230332489,-0.002615607,0.55209809,-0.004350697,0.270906008,0.012844479,0.386827415,0.002031823
GSTA2,0.061871189,-0.08081614,0.896046239,-0.000305612,0.064148425,-0.014155551,0.476820937,-0.008451727,0.387376407,-0.002126397
MGST2,0.108506755,-0.075064373,0.002339874,-0.00746074,0.678442133,-0.003460135,0.496038077,-0.008717788,0.387550415,-0.002136609
DIRAS2,0.272035522,-0.05465917,0.194383316,-0.003403466,0.515239441,-0.006023246,0.20014131,-0.020298565,0.387775391,-0.00248591
GSR,0.466815352,0.030085935,0.788551173,0.000598181,0.141943492,0.010850857,0.699503689,0.004534669,0.38855669,-0.002046968
GNB2L1,0.620701793,0.020422253,0.762328363,0.000667099,0.090633876,0.012544717,0.488423427,0.008130616,0.389460975,-0.002030875
SHMT1,0.125491151,-0.075872868,0.932608198,-0.000220527,0.417152596,-0.007260273,0.14522051,-0.01909299,0.390962613,-0.002291869
COPB1,0.755176662,-0.014995271,0.08952498,-0.004281943,0.584712244,0.004624768,0.958859494,0.000691581,0.391779136,-0.00290393
APEH,0.219692111,-0.065045399,0.617593741,0.001499811,0.439110316,-0.007694383,0.430383163,-0.011088416,0.394909985,-0.00257645
