,HP,PRE,RA,RA_P,RA_N
HSPB1,0.2538467,0.13285355,0.080004074,0.083717332,0.047032868
HSPD1,0.1680489,0.12774,0.101813641,0.101062741,0.094937593
HSPE1,0.1559604,0.09385604,0.099719768,0.101838668,0.087339065
HYOU1,0.22682665,0.22107795,0.376025629,0.376391189,0.413678681
IGHG2,3.077506,2.4502555,1.87698105,2.107591144,0.590393553
IGHV3.15,1.5226225,0.80470495,1.028190913,1.063429611,0.651435592
IGHV4.61,0.22400315,0.2112277,0.365100456,0.378588936,0.25336009
IGKV3D.15,0.777253,0.42701365,0.417976398,0.421253125,0.439812883
IGKV3D.20,0.840505,1.503865,1.118085203,1.353275638,0.359935935
IGKV4.1,0.729261,1.810799,1.737050663,1.967890127,0.128709277
ILF3,0.2819543,0.1068458,0.103761685,0.108676292,0.079167607
ITGA3,0.08810901,0.2267551,0.129544084,0.127160864,0.147353913
ITGA6,0.1870308,0.1299738,0.11514313,0.111368063,0.119729849
ITIH4,1.920042,1.3913265,1.054655646,1.149100123,0.666126317
KRT18,0.4874501,0.2210533,0.251069597,0.26102632,0.190470055
LAMA5,0.4307466,0.190616,0.14086721,0.140484403,0.100600943
LAMP1,0.23312525,0.1772053,0.150224135,0.1827751,0.099819144
LCP1,0.1700723,0.10910605,0.110720851,0.131309468,0.061327856
LDHB,0.05715503,0.12179745,0.139826709,0.154188058,0.056560256
LMAN2,0.12488345,0.3215905,0.230916605,0.24999557,0.08331689
LONP1,0.061181975,0.10330555,0.089680716,0.088881415,0.099391337
LSS,0.16260055,0.2461952,0.246828324,0.241024144,0.322393795
MAOA,0.22861865,0.149313,0.159795296,0.192452367,0.044785056
MGST1,0.02884614,0.05055972,0.05544484,0.066995035,0.035551973
MGST3,0.1013533,0.03606358,0.049288753,0.054853786,0.025183838
MME,0.22596845,0.13637785,0.159180143,0.16140836,0.12493544
MSN,0.1081813,0.17147205,0.137188755,0.15472918,0.055382576
MUC2,0.5059184,0.2018054,0.269040038,0.322883159,0.114458626
MYL12A,0.1729269,0.10050051,0.147712024,0.152066989,0.137318547
MYL6,0.12642925,0.1986891,0.144874478,0.172434277,0.076550393
MYLK,0.2159998,0.1242025,0.143133587,0.145924763,0.126516158
MYOF,0.2961972,0.17412655,0.197065405,0.193118477,0.175095111
NAP1L4,0.1953538,0.3139221,0.04693447,NA,0.04693447
NDUFA9,0.40375875,0.1920415,0.232635867,0.237264914,0.246034088
NUCKS1,0.2999913,0.175316,0.189536276,0.195493501,0.082843028
OCIAD2,0.113735,0.1838372,0.153138079,0.166422487,0.057951691
OLFM4,0.2375323,0.09024278,0.091973615,0.096256044,0.065409426
PA2G4,0.1060036,0.1665455,0.182488679,0.19999823,0.049664659
PADI2,0.1059548,0.07898679,0.067923779,0.073256311,0.031890355
PADI4,0.07976654,0.057850407,0.045374043,0.050998893,0.020052541
PAICS,0.1092539,0.13301615,0.168422381,0.177968954,0.119979872
PC,0.33812805,0.1947532,0.175642098,0.170027522,0.185753875
PDHB,0.3071143,0.1558155,0.133625541,0.134406295,0.119740298
PDIA3,0.2494323,0.1782359,0.150943732,0.162468441,0.060703509
PDIA6,0.2168344,0.20958775,0.141272532,0.143162262,0.119093259
PDLIM1,0.5097755,0.19042095,0.232201788,0.237311194,0.229628825
PDLIM7,0.18745165,0.11578535,0.127592435,0.138868662,0.0730879
PEBP1,0.24622325,0.1658871,0.109306197,0.12870681,0.045986419
PFKL,0.2559198,0.1333423,0.141329843,0.139952004,0.166617109
