colnames-ALL---c-1-15--,P_VAS,P_SJC,P_TJC,P_CRP,X3.1,X3.8,X5.0
VIM,0.203131369,0.490554897,0.518611435,0.167344347,0,0,0
NDST1,0.045404929,0.043194432,0.032037315,0.055365335,0,0,0
VCAN,0.25990688,0.277171141,0.500595224,0.665690554,0,1,0
IGKV2-24,0.974722038,0.635312768,0.995641867,0.346804974,0,0,0
PCBD1,0.330027152,0.866498079,0.495550582,0.012869645,0,0,0
PPBP,0.371162449,0.012716722,0.35514923,0.341837407,0,0,0
HSP90AB1,0.315611972,0.063693358,0.030260283,0.163137067,0,0,0
IGKV3D-7,0.67919398,0.098423044,0.558339898,0.78451718,0,0,0
ASS1,0.465260517,0.219565997,0.344826527,0.91622698,0,1,0
CYP3A5,0.514763652,0.135903387,0.370747172,0.13260547,0,0,0
GATM,0.810322128,0.465242971,0.705712517,0.15077418,0,0,0
GMDS,0.105392109,0.789442731,0.52673609,0.483976277,0,0,0
SDHB,0.062865657,0.267991971,0.248897702,0.777309767,0,0,0
YWHAQ,0.422340402,0.313889307,0.88400963,0.962100425,0,0,0
SLC4A1,0.843468599,0.285821376,0.91085495,0.051982607,0,0,0
UBE2N,0.548519474,0.53349374,0.620799815,0.463285966,0,0,0
TUBA4A,0.989963509,0.694698495,0.625861877,0.474439166,1,0,0
IGJ,0.984641525,0.895587357,0.306331798,0.581102678,0,0,0
3,0.382009627,0.658730506,0.376395572,0.001751229,0,0,0
AKR1B1,0.52416792,0.980639194,0.888529005,0.026634693,0,0,0
AZGP1,0.988183431,0.893355804,0.937271458,0.140431308,0,0,0
CCT6B,0.021931601,0.147171923,0.135202667,0.208292339,1,0,0
TPPP3,0.725033468,0.931805491,0.493662813,0.039816487,0,0,0
RAB21,0.970485683,0.183797532,0.175475057,0.762176112,0,0,0
GDI2,0.655335316,0.992404635,0.249640025,0.150755433,0,0,0
SPTAN1,0.273591777,0.189636741,0.510890307,0.892324371,0,0,0
CDC42,0.487759474,0.602600784,0.845100378,0.913068535,0,0,0
