colnames-ALL---c-1-15--,P_VAS,P_SJC,P_TJC,P_CRP,X3.1,X3.8,X5.0
C1S,0.699029994,0.120613444,0.770606299,0.152921057,0,0,0
COL6A3,0.237933249,0.37996591,0.396903965,0.512156184,0,0,0
CLU,0.362649283,0.408527707,0.79409636,0.08359072,0,0,0
IGKV3D-15,0.53541226,0.038495404,0.494889775,0.134388556,0,0,0
ACSM2B,0.337945585,0.423481603,0.579436635,0.368125229,0,0,0
SLC25A5,0.678015416,0.955849494,0.198580448,0.590909912,0,0,0
PF4,0.834466363,0.389023505,0.586051317,0.015573511,0,0,0
LAP3,0.833082302,0.668579138,0.547188087,0.044559484,0,0,0
SUMO4,0.916194382,0.036002859,0.08995382,0.322268343,0,0,0
EHHADH,0.368326805,0.995434695,0.645897827,0.376369497,0,0,0
MFAP4,0.243595216,0.410586766,0.21691064,0.508780574,0,0,0
LCP1,0.130901678,0.064255483,0.973457096,0.640117222,0,0,0
CTNNA1,0.32980643,0.154912863,0.358523717,0.135216555,0,0,0
APRT,0.502702239,0.069855887,0.020167082,0.838999845,0,0,0
SUCLG1,0.694541919,0.33301407,0.300594624,0.808520245,0,0,0
HNRNPM,0.650735822,0.777221221,0.904977075,0.138286922,0,0,0
SULT1A2,0.231854985,0.56024364,0.529913681,0.382786457,0,0,0
PGM2,0.671418964,0.862232242,0.0752786,0.634777911,0,1,0
EIF5A2,0.934109051,0.657369315,0.944880087,0.768029086,0,0,0
PPP2R1A,0.44714045,0.795728016,0.380084916,0.473532637,0,0,0
CTNNB1,0.872455046,0.96017665,0.267873397,0.805372225,0,0,0
AGMAT,0.185204239,0.413883764,0.092410217,0.062538695,0,0,0
ANXA3,0.084952203,0.79889911,0.745993738,0.1781439,0,0,0
PGK1,0.159997276,0.128875269,0.580146786,0.093596733,0,0,0
LUM,0.267746879,0.687644996,0.749850422,0.958130569,0,0,0
ACTG1,0.823474443,0.782026821,0.251428565,0.663475414,0,0,0
HNRNPA2B1,0.047892482,0.097017163,0.363012951,0.856810242,0,0,0
PCBP2,0.377403949,0.290074363,0.99735296,0.419271155,0,0,0
IGLV3-10,0.183170678,0.822673205,0.869190672,0.447077212,0,0,0
SULT2A1,0.227420839,0.067846152,0.847494424,0.099988961,0,0,0
ALDH1L1,0.10343311,0.99359726,0.067275894,0.171745747,0,0,0
SFPQ,0.767570134,0.319164098,0.319774622,0.624708599,0,0,0
IGKV2D-28,0.15685549,0.263098928,0.445316218,0.61369706,0,0,0
AKR1C4,0.200674934,0.256004351,0.314840138,0.541092466,0,0,0
C1R,0.637222482,0.63113252,0.899900973,0.591459859,0,0,0
DECR1,0.896009752,0.955363184,0.042627812,0.978480982,0,0,0
UTS2,0.436340985,0.286950473,0.968678167,0.861536456,0,0,0
CBR3,0.381063101,0.809192871,0.949415586,0.615303843,0,0,0
APOE,0.345914644,0.83392183,0.78144695,0.062045076,0,0,0
TGFBI,0.477466282,0.897361714,0.936311943,0.253269774,0,0,0
TPM3,0.216350894,0.733484944,0.683638921,0.631367914,0,0,0
COTL1,0.156670041,0.188603129,0.558969595,0.838489604,0,0,0
TSN,0.906432567,0.720222484,0.598622273,0.886487538,0,0,0
DAD1,0.467998439,0.31203126,0.352182185,0.292577957,0,0,0
CPN1,0.978740211,0.927712712,0.793107294,0.420866396,0,0,0
FGA,0.810864701,0.502249927,0.711359582,0.20709503,0,0,0
CBR1,0.626121356,0.252166496,0.67479153,0.14878137,0,0,0
RAD23B,0.585404313,0.918998764,0.172684943,0.107948513,0,0,0
SHMT2,0.329477897,0.564982518,0.768517977,0.205995702,0,0,0
COQ9,0.989089173,0.625153031,0.225253325,0.170094256,0,0,0
ATP1B1,0.829638425,0.670512833,0.44838486,0.057254183,0,0,0
UGT2B7,0.902023253,0.648056971,0.724393413,0.905209657,0,0,0
C8B,0.886521274,0.626427713,0.783940859,0.282380301,0,0,0
MYADM,0.712479777,0.631898593,0.410776337,0.52361018,0,0,0
AHSG,0.03502859,0.060062925,0.121169986,0.000773304,0,0,0
CD59,0.166998554,0.593343149,0.44984788,0.241313409,0,0,0
DDAH1,0.111554737,0.270195917,0.799983996,0.888133425,0,0,0
PPIA,0.398392615,0.977849866,0.80715216,0.25522959,0,0,0
COX6C,0.52164877,0.419313021,0.469277546,0.19386217,0,0,0
RPSA,0.45957344,0.331751377,0.260960398,0.086443891,0,0,0
C4A,0.922182133,0.245405965,0.115610623,0.107955922,0,0,0
PDIA4,0.990538891,0.029237766,0.175525399,0.545042232,0,0,0
BCAP31,0.629279782,0.310253044,0.706227672,0.136244523,0,0,0
S100A8,0.408607731,0.755354415,0.917213415,0.369828394,0,0,0
HIST1H1D,0.650306025,0.071117439,0.504757675,0.14114527,0,0,0
RAB2A,0.866147585,0.450290671,0.365856888,5.86E-11,0,0,0
ABCF1,0.025369567,0.542784948,0.291052035,0.205022438,0,0,0
RPL6,0.399989641,0.092899644,0.241301833,0.21351566,0,0,0
ITIH3,0.592477538,0.85459591,0.625386,0.017697922,0,1,0
AKR1C1,0.352261114,0.792611403,0.154523014,0.181676091,0,0,0
AKR1D1,0.913585733,0.491554714,0.314935835,0.315316856,0,0,0
SUCLG2,0.015899501,0.068134878,0.383080834,0.173716018,0,0,0
LRP2,0.680841171,0.486979108,0.453326036,0.132463995,0,0,0
NPC2,0.338201279,0.246781772,0.015737186,0.059789982,0,0,0
LGALS1,0.955664737,0.391478425,0.332221559,0.493236149,0,0,0
A1BG,0.522118015,0.658543271,0.933113406,0.091383146,0,0,0
HSD17B10,0.001129246,0.092195739,0.181034449,0.011169083,0,0,0
PSMD13,0.610211394,0.668139406,0.867050476,0.486255071,0,0,0
PCCB,0.539983176,0.169985527,0.864570397,0.586410752,0,0,0
ANXA2,0.224725856,0.708099348,0.477709708,0.073005864,0,0,0
ITGB1,0.21447556,0.980050833,0.501403427,0.732642432,0,0,0
FKBP1A,0.572606953,0.418894857,0.486033443,0.091064767,0,0,0
TUBB4B,0.071942394,0.194113116,0.853546883,0.297396281,0,0,0
CYB5R3,0.119850024,0.369633082,0.031016469,0.923152381,0,0,0
KRT18,0.51654408,0.861734624,0.960542111,0.772946716,0,0,0
NDUFA9,0.450029714,0.511109006,0.659126312,0.436617116,0,0,0
CYB5A,0.264752711,0.320347208,0.806040763,0.612232345,0,0,0
HP,0.040716265,0.112194171,0.679933877,5.33E-08,0,0,0
HSPG2,0.650478073,0.906315319,0.533011861,0.741683584,0,0,0
GLUD1,0.109167578,0.482864682,0.968994809,0.660438958,0,0,0
FBLN1,0.981834616,0.069077231,0.224957495,0.994287381,1,0,0
RPL4,0.567483744,0.185388883,0.0528427,0.300465304,0,0,0
PTMS,0.537600203,0.864321567,0.627194528,0.174546021,0,0,0
F10,0.410763502,0.121472247,0.967486986,0.667687521,0,0,0
SHMT1,0.702298874,0.09436611,0.822027094,0.297808598,0,0,0
MYOF,0.600664848,0.536378652,0.469992755,0.874699636,0,0,0
VDAC1,0.457889126,0.079927774,0.650007232,0.452068293,0,0,0
PCK2,0.778216307,0.469665135,0.599834155,0.072301346,0,0,0
ASL,0.031027913,0.815983662,0.209704269,0.866764202,0,0,0
TXN,0.857379284,0.336768406,0.626191262,0.178142563,0,0,0
ECI2,0.900005122,0.213489326,0.172596858,0.215206595,0,0,0
PGM5,0.279640226,0.684384489,0.31411232,0.481284952,0,0,0
SEC22B,0.576775602,0.04335613,0.98958623,0.44116071,0,0,0
ERP29,0.656119524,0.532008015,0.807979178,0.678471274,0,0,0
GNB1,0.519674138,0.951072729,0.447340592,0.520664623,0,0,0
VDAC2,0.256144825,0.385513426,0.364030457,0.053936552,0,0,0
PSMB9,0.115877361,0.745116462,0.435615444,0.94615171,0,0,0
IGHA2,0.198898433,0.577559409,0.421392791,0.474023787,0,0,0
FCGBP,0.304782525,0.900697685,0.686110486,0.413411502,0,0,0
IGHG1,0.652369674,0.620319793,0.833119486,0.72102102,0,0,0
SNX5,0.573869283,0.886098969,0.345083928,0.824658921,0,0,0
EPHX1,0.705729995,0.621567575,0.822478086,0.831697238,0,0,0
HLA-DRA,0.448784404,0.19483723,0.419165426,0.365096594,0,0,0
HMGCL,0.636882413,0.21836269,0.940794692,0.142972608,0,0,0
TPM1,0.701499858,0.29770497,0.32290281,0.738005902,0,0,0
C11orf54,0.746724109,0.750957669,0.850637951,0.505660584,0,0,0
ATP5H,0.445857031,0.868715464,0.47802194,0.390259209,0,0,0
C8A,0.611193775,0.278321255,0.92512111,0.83340245,0,0,0
FABP1,0.735763282,0.396873977,0.327722671,0.976681409,0,0,0
TYMP,0.210291437,0.377534917,0.928044969,0.231386853,0,0,0
NUCKS1,0.663118379,0.099939163,0.260530165,0.344090371,0,0,0
GAPDH,0.50937616,0.098180997,0.337088022,0.71616069,0,0,0
TGM2,0.214530782,0.912378497,0.448018637,0.010931871,0,0,0
CCT6A,0.806267285,0.867362503,0.746692245,0.503833153,0,0,0
EHD2,0.532864924,0.840488956,0.95673625,0.915269454,0,0,0
FN1,0.116496177,0.487805565,0.079838431,0.230988452,0,0,0
RPL13,0.231464833,0.208081608,0.027814925,0.082715633,0,0,0
PGAM1,0.025193501,0.176040493,0.369424293,0.438823104,0,0,0
RPL11,0.797300518,0.432065018,0.696933648,0.789151816,0,0,0
CAPG,0.055851548,0.549781289,0.220453513,0.254202613,0,0,0
SLC25A11,0.961070627,0.367031891,0.619505745,0.28336126,0,0,0
BZW1,0.153112897,0.939604831,0.770853952,0.192265195,0,1,0
TFRC,0.342519295,0.188667054,0.926149437,0.708574387,0,0,0
RPS3,0.442866971,0.401714944,0.445842048,0.057163124,0,0,0
RAB10,0.514708522,0.06507996,0.249422417,0.104849003,0,0,0
NUDT5,0.853010182,0.460336929,0.588329947,0.534203762,0,0,0
GGT5,0.865067966,0.669217444,0.76662418,0.623213611,0,0,0
UQCRC2,0.507381042,0.792590118,0.358695027,0.478078588,0,0,0
C1QA,0.106133894,0.252882372,0.921274009,0.618164028,0,0,0
DEFA3,0.570453418,0.411487829,0.611837673,0.984368224,0,0,0
CMBL,0.244719536,0.280293588,0.646990844,0.449969942,0,0,0
SERPINA3,0.438359379,0.002966194,0.27309398,1.05E-12,0,0,0
PZP,0.93729952,0.783364352,0.676865042,0.886398806,0,0,0
HSPA1B,0.508604258,0.637153656,0.549960775,0.399811723,0,0,0
ALDH6A1,0.984402524,0.801961311,0.947735489,0.42132743,0,0,0
SLC25A20,0.406061227,0.650614562,0.957448896,0.900476002,0,0,0
CFI,0.220888316,0.252698104,0.088487735,0.466806185,0,0,0
ATRN,0.488739991,0.208132899,0.813236425,0.078177321,0,0,0
PLP2,0.068774279,0.035521329,0.158139855,0.368854478,0,0,0
HNRNPK,0.625503147,0.42572044,0.109465992,0.078822502,0,0,0
SDHA,0.968764748,0.413092465,0.706658106,0.274952767,0,0,0
TUBA1C,0.29196014,0.05708332,0.189478736,0.101473279,0,0,0
FDPS,0.63041594,0.155234694,0.26992991,0.410579988,0,0,0
IQGAP1,0.064347864,0.921025183,0.662894262,0.338176987,0,1,0
CSTB,0.850778059,0.40168434,0.865518267,0.473302949,0,0,0
CFL1,0.147440492,0.984410169,0.811047966,0.24406183,0,0,0
PRDX1,0.785678457,0.477349303,0.419674957,0.962810379,0,0,0
LMAN2,0.855268943,0.570123825,0.390202332,0.353254207,0,0,0
ALDOA,0.250755458,0.476343166,0.869825199,0.134495851,0,0,0
DNPEP,0.245586505,0.334996408,0.645252653,0.746491776,0,0,0
SRP9,0.233456143,0.28182071,0.267615461,0.333315331,0,0,0
FMO3,0.558209234,0.860205821,0.755962358,0.819493899,1,0,0
GANAB,0.176344253,0.217888482,0.827413504,0.228025029,0,0,0
IGHV1-18,0.337716095,0.260377345,0.827670108,0.093457849,0,0,0
WDR1,0.802380976,0.237052592,0.550935337,0.983553423,0,1,0
LAMC1,0.277210765,0.516600343,0.51844761,0.03402043,0,0,0
BGN,0.429596058,0.939556497,0.914396534,0.052032086,0,0,0
IGHV5-51,0.574300179,0.485349003,0.333483808,0.622097282,1,1,0
CEACAM8,0.363986837,0.919137546,0.914602463,0.24722262,0,1,0
CD47,0.995133049,0.597268698,0.496401584,0.357402066,0,0,0
CD44,0.311647973,0.629010758,0.990543672,0.809545038,0,0,0
RPL23A,0.120221094,0.11804875,0.002734722,0.850108828,0,0,0
RPS4X,0.218114449,0.029962779,0.958636997,0.947888821,0,0,0
RYR2,0.50978068,0.393044896,0.950175234,0.341326125,1,0,0
RPS20,0.958126274,0.264158759,0.717865288,0.829318343,0,0,0
VWF,0.753113104,0.846118716,0.593201879,0.00585408,0,0,0
IGKV-A18,0.413514068,0.2144933,0.320838265,0.100404877,0,0,0
CNOT1,NA,NA,NA,NA,0,0,0
CYTH3,NA,NA,NA,NA,0,0,0
JAK2,NA,NA,NA,NA,0,0,0
DEAF1,NA,NA,NA,NA,0,0,0
PRPF40A,NA,NA,NA,NA,0,0,0
DYSF,NA,NA,NA,NA,0,0,0
IL18BP,NA,NA,NA,NA,0,0,0
HRAS,NA,NA,NA,NA,0,0,0
GH2,NA,NA,NA,NA,0,0,0
CRP,0.188403695,0.020509222,0.173474215,2.09E-22,0,0,0
CALB1,0.251118773,0.806537239,0.733003758,0.15006261,0,0,0
PATE4,NA,NA,NA,NA,0,0,0
GZMB,NA,NA,NA,NA,0,0,0
EDN2,NA,NA,NA,NA,0,0,0
SERPINA2,NA,NA,NA,NA,0,0,0
ZNF93,NA,NA,NA,NA,0,0,0
CXCL6,NA,NA,NA,NA,0,0,0
TIAM1,NA,NA,NA,NA,0,0,0
TRIM28,NA,NA,NA,NA,0,0,0
ATP1A4,NA,NA,NA,NA,0,0,0
NCAPH,NA,NA,NA,NA,0,0,0
X7-Sep,0.672337036,0.653921262,0.720540648,0.385197868,0,0,0
CYP4F22,NA,NA,NA,NA,0,0,0
LRRC25,NA,NA,NA,NA,0,0,0
ATAD1,NA,NA,NA,NA,0,0,0
GPR98,NA,NA,NA,NA,0,0,0
STMN2,NA,NA,NA,NA,0,0,0
X2-Mar,0.908682995,0.540632442,0.849947125,0.024022409,0,0,0
FXYD5,NA,NA,NA,NA,0,0,0
NAP1L4,0.448503948,0.907353118,0.403849918,0.023333284,0,0,0
FUCA2,NA,NA,NA,NA,0,0,0
FAM129A,NA,NA,NA,NA,0,0,0
DUOX2,NA,NA,NA,NA,0,0,0
GNG12,0.997247652,0.293705646,0.262364024,0.335865329,0,0,0
GBP2,0.617574422,0.48275431,0.247221437,0.789325829,0,0,0
RPS10,0.024423481,0.054944152,0.013259218,0.23151716,0,0,0
B2M,0.227647704,0.009828355,0.821425761,0.978940523,0,0,0
RHOG,0.876818477,0.472272215,0.567145673,0.159779482,0,0,0
ASPH,0.74380331,0.87509069,0.547943357,0.501374792,0,0,0
EBP,0.477451718,0.880461933,0.067472798,0.98935021,0,0,0
ARPC1A,0.298818459,0.493978342,0.84790908,0.732291554,0,0,0
C1RL,0.821327269,0.763827736,0.382694704,0.592649388,0,0,0
