"ID","i","coef"
"RPL27A",66,2.54000862683458
"GGT1",67,-0.60875404017407
"RPL27A",67,1.00061702392136
"GGT1",68,-0.888446899131231
"RPL27A",68,1.37256769217409
"GGT1",69,-2.09408236078819
"RPL27A",69,1.06604808011195
"GGT1",70,-3.21931621262156
"RPL27A",70,3.29842367958694
"GGT1",71,-3.66757262008454
"RPL27A",71,1.29263777321161
"GGT1",72,-1.81197246036494
"RPL27A",72,2.77179553167047
"GGT1",73,-0.809782586390442
"RPL27A",73,1.36334194575827
"GGT1",74,-1.08231734115527
"RPL27A",74,1.69984628339439
"GGT1",75,-4.14646937540325
"RPL27A",75,2.65374997424682
"GGT1",76,-1.61114507186323
"RPL27A",76,2.05367838033306
"GGT1",77,-3.70323247558579
"RPL27A",77,1.79864029305463
"GGT1",78,-4.67273951599086
"RPL27A",78,1.8562772154638
"GGT1",79,-1.56220665266047
"RPL27A",79,2.39139371633167
"GGT1",80,-1.81092104788998
"RPL27A",80,1.37410487072938
"GGT1",81,-1.90731160556171
"RPL27A",81,1.58809398681987
"GGT1",82,-0.00422281007880794
"RPL27A",82,0.00214216972627217
"GGT1",83,-1.59861455377266
"RPL27A",83,1.77905155136539
"GGT1",84,-1.79135582979063
"RPL27A",84,1.94335706890828
"GGT1",85,-3.65341328187579
"RPL27A",85,3.21258175935816
"GGT1",86,-1.82678140075767
"RPL27A",86,0.65854289142895
"GGT1",87,-1.81430078497503
"RPL27A",87,2.02318879398991
"GGT1",88,-1.67155693436234
"RPL27A",88,3.05886710961098
"GGT1",89,-4.11839172300319
"RPL27A",89,-0.31449751312446
"GGT1",90,-2.06490369616125
"RPL27A",90,1.49421226496729
"GGT1",91,-1.71398827697574
"RPL27A",91,3.55190235007639
"GGT1",92,-0.156175332540284
"RPL27A",92,0.171494791792726
"GGT1",93,-1.89844596355122
"RPL27A",93,1.37901053142561
"GGT1",94,-2.67307591032736
"RPL27A",94,1.99965893829599
"GGT1",95,-3.34670808048824
"RPL27A",95,2.85991351056938
"GGT1",96,-0.00327181320115729
"RPL27A",96,0.00285413191976562
"GGT1",97,-2.00598501710279
"RPL27A",97,3.92985381878308
"GGT1",98,-1.39073949726314
"RPL27A",98,1.41943614851372
"GGT1",99,-3.07079007082394
"RPL27A",99,2.10613443704291
"GGT1",100,-3.23002804711794
"RPL27A",100,2.79486854924286
